,,,,,,,,,,,,,
Block Load Profile Report From 01-May-2019 To 10-May-2019,,,,,,,,,,,,,
Consumer Number:,,Consumer Name:,,Substation Name:,ABCD,Feeder Name:,A1,Dtr Name:,DTR2,Meter Number:,,Contracted Load(kW):,3
S.No., Captured Date and Time,,,,,Active Energy(kWh),,Apparent Energy(kVAh),,Average Voltage(V),Average Current(A),Neutral Current(A),Status Byte
,,,,,,Import,Export,Import,Export,,,,
1,01-May-2019 00:00:00,,,,,0.069,0.000,0.069 ,0.000 ,232.110,1.190,0.000,-
2,01-May-2019 00:15:00,,,,,0.068,0.000,0.069 ,0.000 ,231.710,1.190,0.000,-
3,01-May-2019 00:30:00,,,,,0.066,0.000,0.069 ,0.000 ,231.920,1.170,0.000,-
4,01-May-2019 00:45:00,,,,,0.063,0.000,0.068 ,0.000 ,233.450,1.160,0.000,-
5,01-May-2019 01:00:00,,,,,0.044,0.000,0.052 ,0.000 ,235.630,0.880,0.000,-
6,01-May-2019 01:15:00,,,,,0.064,0.000,0.068 ,0.000 ,237.200,1.130,0.000,-
7,01-May-2019 01:30:00,,,,,0.073,0.000,0.074 ,0.000 ,238.520,1.230,0.000,-
8,01-May-2019 01:45:00,,,,,0.072,0.000,0.073 ,0.000 ,239.360,1.210,0.000,-
9,01-May-2019 02:00:00,,,,,0.072,0.000,0.073 ,0.000 ,240.310,1.210,0.000,-
10,01-May-2019 02:15:00,,,,,0.050,0.000,0.056 ,0.000 ,241.470,0.930,0.000,-
11,01-May-2019 02:30:00,,,,,0.057,0.000,0.062 ,0.000 ,242.400,1.020,0.000,-
12,01-May-2019 02:45:00,,,,,0.072,0.000,0.074 ,0.000 ,243.000,1.210,0.000,-
13,01-May-2019 03:00:00,,,,,0.038,0.000,0.048 ,0.000 ,244.040,0.770,0.000,-
14,01-May-2019 03:15:00,,,,,0.069,0.000,0.071 ,0.000 ,244.670,1.170,0.000,-
15,01-May-2019 03:30:00,,,,,0.057,0.000,0.062 ,0.000 ,244.650,1.000,0.000,-
16,01-May-2019 03:45:00,,,,,0.049,0.000,0.058 ,0.000 ,244.560,0.930,0.000,-
17,01-May-2019 04:00:00,,,,,0.070,0.000,0.072 ,0.000 ,245.130,1.170,0.000,-
18,01-May-2019 04:15:00,,,,,0.036,0.000,0.046 ,0.000 ,245.500,0.750,0.000,-
19,01-May-2019 04:30:00,,,,,0.072,0.000,0.074 ,0.000 ,245.820,1.190,0.000,-
20,01-May-2019 04:45:00,,,,,0.045,0.000,0.054 ,0.000 ,246.660,0.870,0.000,-
21,01-May-2019 05:00:00,,,,,0.059,0.000,0.064 ,0.000 ,247.160,1.040,0.000,-
22,01-May-2019 05:15:00,,,,,0.058,0.000,0.064 ,0.000 ,247.650,1.010,0.000,-
23,01-May-2019 05:30:00,,,,,0.047,0.000,0.055 ,0.000 ,247.450,0.880,0.000,-
24,01-May-2019 05:45:00,,,,,0.071,0.000,0.073 ,0.000 ,247.100,1.190,0.000,-
25,01-May-2019 06:00:00,,,,,0.026,0.000,0.034 ,0.000 ,247.210,0.530,0.000,-
26,01-May-2019 06:15:00,,,,,0.058,0.000,0.064 ,0.000 ,248.210,1.020,0.000,-
27,01-May-2019 06:30:00,,,,,0.031,0.000,0.037 ,0.000 ,247.590,0.610,0.000,-
28,01-May-2019 06:45:00,,,,,0.046,0.000,0.052 ,0.000 ,247.100,0.830,0.000,-
29,01-May-2019 07:00:00,,,,,0.041,0.000,0.048 ,0.000 ,248.600,0.760,0.000,-
30,01-May-2019 07:15:00,,,,,0.034,0.000,0.041 ,0.000 ,249.790,0.650,0.000,-
31,01-May-2019 07:30:00,,,,,0.063,0.000,0.067 ,0.000 ,249.810,1.070,0.000,-
32,01-May-2019 07:45:00,,,,,0.036,0.000,0.048 ,0.000 ,250.320,0.750,0.000,-
33,01-May-2019 08:00:00,,,,,0.078,0.000,0.079 ,0.000 ,250.650,1.270,0.000,-
34,01-May-2019 08:15:00,,,,,0.032,0.000,0.041 ,0.000 ,250.570,0.640,0.000,-
35,01-May-2019 08:30:00,,,,,0.064,0.000,0.067 ,0.000 ,248.390,1.070,0.000,-
36,01-May-2019 08:45:00,,,,,0.069,0.000,0.074 ,0.000 ,247.560,1.190,0.000,-
37,01-May-2019 09:00:00,,,,,0.060,0.000,0.069 ,0.000 ,247.530,1.110,0.000,-
38,01-May-2019 09:15:00,,,,,0.079,0.000,0.081 ,0.000 ,246.410,1.300,0.000,-
39,01-May-2019 09:30:00,,,,,0.043,0.000,0.056 ,0.000 ,245.170,0.900,0.000,-
40,01-May-2019 09:45:00,,,,,0.064,0.000,0.068 ,0.000 ,244.750,1.110,0.000,-
41,01-May-2019 10:00:00,,,,,0.062,0.000,0.066 ,0.000 ,244.900,1.070,0.000,-
42,01-May-2019 10:15:00,,,,,0.049,0.000,0.056 ,0.000 ,244.200,0.900,0.000,-
43,01-May-2019 10:30:00,,,,,0.061,0.000,0.065 ,0.000 ,242.900,1.070,0.000,-
44,01-May-2019 10:45:00,,,,,0.034,0.000,0.040 ,0.000 ,242.710,0.650,0.000,-
