,,,,,,,,,,,,,
Block Load Profile Report From 01-May-2019 To 10-May-2019,,,,,,,,,,,,,
Consumer Number:,,Consumer Name:,,Substation Name:,ABCD,Feeder Name:,A1,Dtr Name:,DTR2,Meter Number:,,Contracted Load(kW):,1
S.No., Captured Date and Time,,,,,Active Energy(kWh),,Apparent Energy(kVAh),,Average Voltage(V),Average Current(A),Neutral Current(A),Status Byte
,,,,,,Import,Export,Import,Export,,,,
1,01-May-2019 00:00:00,,,,,0.489,0.000,0.497 ,0.000 ,229.240,8.660,0.000,-
2,01-May-2019 00:15:00,,,,,0.488,0.000,0.496 ,0.000 ,228.820,8.650,0.000,-
3,01-May-2019 00:30:00,,,,,0.462,0.000,0.469 ,0.000 ,229.450,8.150,0.000,-
4,01-May-2019 00:45:00,,,,,0.479,0.000,0.486 ,0.000 ,230.530,8.420,0.000,-
5,01-May-2019 01:00:00,,,,,0.465,0.000,0.474 ,0.000 ,232.760,8.120,0.000,-
6,01-May-2019 01:15:00,,,,,0.475,0.000,0.483 ,0.000 ,233.910,8.250,0.000,-
7,01-May-2019 01:30:00,,,,,0.477,0.000,0.486 ,0.000 ,235.240,8.250,0.000,-
8,01-May-2019 01:45:00,,,,,0.465,0.000,0.475 ,0.000 ,236.060,8.020,0.000,-
9,01-May-2019 02:00:00,,,,,0.485,0.000,0.496 ,0.000 ,238.280,8.310,0.000,-
10,01-May-2019 02:15:00,,,,,0.471,0.000,0.481 ,0.000 ,239.280,8.030,0.000,-
11,01-May-2019 02:30:00,,,,,0.480,0.000,0.492 ,0.000 ,239.850,8.180,0.000,-
12,01-May-2019 02:45:00,,,,,0.490,0.000,0.502 ,0.000 ,242.060,8.280,0.000,-
13,01-May-2019 03:00:00,,,,,0.504,0.000,0.516 ,0.000 ,243.040,8.470,0.000,-
14,01-May-2019 03:15:00,,,,,0.481,0.000,0.495 ,0.000 ,243.710,8.100,0.000,-
15,01-May-2019 03:30:00,,,,,0.484,0.000,0.499 ,0.000 ,244.050,8.170,0.000,-
16,01-May-2019 03:45:00,,,,,0.483,0.000,0.499 ,0.000 ,244.450,8.130,0.000,-
17,01-May-2019 04:00:00,,,,,0.383,0.000,0.397 ,0.000 ,244.880,6.480,0.000,-
18,01-May-2019 04:15:00,,,,,0.160,0.000,0.167 ,0.000 ,244.210,2.770,0.000,-
19,01-May-2019 04:30:00,,,,,0.459,0.000,0.463 ,0.000 ,241.210,7.680,0.000,-
20,01-May-2019 04:45:00,,,,,0.089,0.000,0.096 ,0.000 ,244.040,1.580,0.000,-
21,01-May-2019 05:00:00,,,,,0.084,0.000,0.093 ,0.000 ,245.170,1.500,0.000,-
22,01-May-2019 05:15:00,,,,,0.083,0.000,0.092 ,0.000 ,245.220,1.500,0.000,-
23,01-May-2019 05:30:00,,,,,0.077,0.000,0.086 ,0.000 ,246.560,1.390,0.000,-
24,01-May-2019 05:45:00,,,,,0.040,0.000,0.053 ,0.000 ,247.780,0.840,0.000,-
25,01-May-2019 06:00:00,,,,,0.041,0.000,0.052 ,0.000 ,248.690,0.830,0.000,-
26,01-May-2019 06:15:00,,,,,0.030,0.000,0.037 ,0.000 ,250.790,0.580,0.000,-
27,01-May-2019 06:30:00,,,,,0.018,0.000,0.034 ,0.000 ,250.560,0.530,0.000,-
28,01-May-2019 06:45:00,,,,,0.017,0.000,0.033 ,0.000 ,250.910,0.530,0.000,-
29,01-May-2019 07:00:00,,,,,0.014,0.000,0.028 ,0.000 ,251.870,0.430,0.000,-
30,01-May-2019 07:15:00,,,,,0.010,0.000,0.019 ,0.000 ,253.380,0.300,0.000,-
31,01-May-2019 07:30:00,,,,,0.018,0.000,0.034 ,0.000 ,253.170,0.520,0.000,-
32,01-May-2019 07:45:00,,,,,0.029,0.000,0.041 ,0.000 ,253.810,0.640,0.000,-
33,01-May-2019 08:00:00,,,,,0.028,0.000,0.031 ,0.000 ,253.810,0.480,0.000,-
34,01-May-2019 08:15:00,,,,,0.071,0.000,0.077 ,0.000 ,254.560,1.200,0.000,-
35,01-May-2019 08:30:00,,,,,0.079,0.000,0.087 ,0.000 ,251.610,1.380,0.000,-
36,01-May-2019 08:45:00,,,,,0.048,0.000,0.056 ,0.000 ,249.020,0.890,0.000,-
37,01-May-2019 09:00:00,,,,,0.060,0.000,0.073 ,0.000 ,248.490,1.170,0.000,-
38,01-May-2019 09:15:00,,,,,0.047,0.000,0.063 ,0.000 ,250.330,0.990,0.000,-
39,01-May-2019 09:30:00,,,,,0.022,0.000,0.037 ,0.000 ,246.610,0.590,0.000,-
40,01-May-2019 09:45:00,,,,,0.022,0.000,0.036 ,0.000 ,245.910,0.580,0.000,-
41,01-May-2019 10:00:00,,,,,0.030,0.000,0.042 ,0.000 ,246.880,0.670,0.000,-
42,01-May-2019 10:15:00,,,,,0.035,0.000,0.045 ,0.000 ,246.370,0.730,0.000,-
43,01-May-2019 10:30:00,,,,,0.035,0.000,0.047 ,0.000 ,246.180,0.750,0.000,-
44,01-May-2019 10:45:00,,,,,0.043,0.000,0.053 ,0.000 ,244.240,0.870,0.000,-
