,,,,,,,,,,,,,
Block Load Profile Report From 01-May-2019 To 10-May-2019,,,,,,,,,,,,,
Consumer Number:,,Consumer Name:,,Substation Name:,ABCD,Feeder Name:,A1,Dtr Name:,DTR2,Meter Number:,,Contracted Load(kW):,3
S.No., Captured Date and Time,,,,,Active Energy(kWh),,Apparent Energy(kVAh),,Average Voltage(V),Average Current(A),Neutral Current(A),Status Byte
,,,,,,Import,Export,Import,Export,,,,
1,01-May-2019 00:00:00,,,,,0.048,0.000,0.056 ,0.000 ,241.370,0.910,0.000,-
2,01-May-2019 00:15:00,,,,,0.048,0.000,0.055 ,0.000 ,241.660,0.910,0.000,-
3,01-May-2019 00:30:00,,,,,0.048,0.000,0.055 ,0.000 ,242.840,0.910,0.000,-
4,01-May-2019 00:45:00,,,,,0.048,0.000,0.056 ,0.000 ,243.180,0.910,0.000,-
5,01-May-2019 01:00:00,,,,,0.049,0.000,0.056 ,0.000 ,245.030,0.910,0.000,-
6,01-May-2019 01:15:00,,,,,0.048,0.000,0.056 ,0.000 ,245.980,0.910,0.000,-
7,01-May-2019 01:30:00,,,,,0.048,0.000,0.057 ,0.000 ,246.900,0.910,0.000,-
8,01-May-2019 01:45:00,,,,,0.049,0.000,0.056 ,0.000 ,247.320,0.910,0.000,-
9,01-May-2019 02:00:00,,,,,0.048,0.000,0.057 ,0.000 ,247.960,0.910,0.000,-
10,01-May-2019 02:15:00,,,,,0.048,0.000,0.058 ,0.000 ,248.730,0.910,0.000,-
11,01-May-2019 02:30:00,,,,,0.049,0.000,0.057 ,0.000 ,249.580,0.910,0.000,-
12,01-May-2019 02:45:00,,,,,0.049,0.000,0.058 ,0.000 ,251.080,0.920,0.000,-
13,01-May-2019 03:00:00,,,,,0.049,0.000,0.058 ,0.000 ,251.450,0.920,0.000,-
14,01-May-2019 03:15:00,,,,,0.049,0.000,0.059 ,0.000 ,252.090,0.920,0.000,-
15,01-May-2019 03:30:00,,,,,0.049,0.000,0.058 ,0.000 ,252.840,0.920,0.000,-
16,01-May-2019 03:45:00,,,,,0.049,0.000,0.059 ,0.000 ,252.910,0.920,0.000,-
17,01-May-2019 04:00:00,,,,,0.049,0.000,0.059 ,0.000 ,253.470,0.920,0.000,-
18,01-May-2019 04:15:00,,,,,0.049,0.000,0.060 ,0.000 ,254.080,0.930,0.000,-
19,01-May-2019 04:30:00,,,,,0.049,0.000,0.059 ,0.000 ,254.640,0.930,0.000,-
20,01-May-2019 04:45:00,,,,,0.050,0.000,0.060 ,0.000 ,254.370,0.930,0.000,-
21,01-May-2019 05:00:00,,,,,0.049,0.000,0.059 ,0.000 ,254.280,0.930,0.000,-
22,01-May-2019 05:15:00,,,,,0.050,0.000,0.060 ,0.000 ,254.810,0.930,0.000,-
23,01-May-2019 05:30:00,,,,,0.053,0.000,0.062 ,0.000 ,254.110,0.970,0.000,-
24,01-May-2019 05:45:00,,,,,0.275,0.000,0.277 ,0.000 ,253.600,4.380,0.000,-
25,01-May-2019 06:00:00,,,,,0.041,0.000,0.046 ,0.000 ,254.450,0.720,0.000,-
26,01-May-2019 06:15:00,,,,,0.040,0.000,0.050 ,0.000 ,255.700,0.770,0.000,-
27,01-May-2019 06:30:00,,,,,0.028,0.000,0.032 ,0.000 ,256.060,0.490,0.000,-
28,01-May-2019 06:45:00,,,,,0.027,0.000,0.031 ,0.000 ,256.430,0.480,0.000,-
29,01-May-2019 07:00:00,,,,,0.029,0.000,0.032 ,0.000 ,255.670,0.490,0.000,-
30,01-May-2019 07:15:00,,,,,0.033,0.000,0.037 ,0.000 ,256.700,0.560,0.000,-
31,01-May-2019 07:30:00,,,,,0.019,0.000,0.021 ,0.000 ,256.520,0.320,0.000,-
32,01-May-2019 07:45:00,,,,,0.012,0.000,0.013 ,0.000 ,256.250,0.200,0.000,-
33,01-May-2019 08:00:00,,,,,0.001,0.000,0.003 ,0.000 ,255.710,0.040,0.000,-
34,01-May-2019 08:15:00,,,,,0.011,0.000,0.013 ,0.000 ,256.470,0.200,0.000,-
35,01-May-2019 08:30:00,,,,,0.083,0.000,0.087 ,0.000 ,255.500,1.350,0.000,-
36,01-May-2019 08:45:00,,,,,0.017,0.000,0.019 ,0.000 ,254.600,0.300,0.000,-
37,01-May-2019 09:00:00,,,,,0.065,0.000,0.071 ,0.000 ,254.660,1.110,0.000,-
38,01-May-2019 09:15:00,,,,,0.037,0.000,0.044 ,0.000 ,254.920,0.680,0.000,-
39,01-May-2019 09:30:00,,,,,0.042,0.000,0.048 ,0.000 ,252.400,0.760,0.000,-
40,01-May-2019 09:45:00,,,,,0.030,0.000,0.036 ,0.000 ,252.280,0.560,0.000,-
41,01-May-2019 10:00:00,,,,,0.028,0.000,0.034 ,0.000 ,251.460,0.540,0.000,-
42,01-May-2019 10:15:00,,,,,0.029,0.000,0.038 ,0.000 ,251.160,0.590,0.000,-
43,01-May-2019 10:30:00,,,,,0.054,0.000,0.066 ,0.000 ,249.990,1.070,0.000,-
44,01-May-2019 10:45:00,,,,,0.067,0.000,0.084 ,0.000 ,249.250,1.320,0.000,-
