,,,,,,,,,,,,,
Block Load Profile Report From 01-May-2019 To 10-May-2019,,,,,,,,,,,,,
Consumer Number:,,Consumer Name:,,Substation Name:,ABCD,Feeder Name:,A1,Dtr Name:,DTR2,Meter Number:,,Contracted Load(kW):,3
S.No., Captured Date and Time,,,,,Active Energy(kWh),,Apparent Energy(kVAh),,Average Voltage(V),Average Current(A),Neutral Current(A),Status Byte
,,,,,,Import,Export,Import,Export,,,,
1,01-May-2019 00:00:00,,,,,0.105,0.000,0.106 ,0.000 ,240.610,1.760,0.000,-
2,01-May-2019 00:15:00,,,,,0.115,0.000,0.117 ,0.000 ,242.150,1.930,0.000,-
3,01-May-2019 00:30:00,,,,,0.117,0.000,0.121 ,0.000 ,242.530,1.980,0.000,-
4,01-May-2019 00:45:00,,,,,0.117,0.000,0.121 ,0.000 ,243.700,1.980,0.000,-
5,01-May-2019 01:00:00,,,,,0.119,0.000,0.122 ,0.000 ,245.410,1.980,0.000,-
6,01-May-2019 01:15:00,,,,,0.109,0.000,0.110 ,0.000 ,245.460,1.790,0.000,-
7,01-May-2019 01:30:00,,,,,0.112,0.000,0.115 ,0.000 ,246.390,1.850,0.000,-
8,01-May-2019 01:45:00,,,,,0.121,0.000,0.124 ,0.000 ,247.460,2.000,0.000,-
9,01-May-2019 02:00:00,,,,,0.121,0.000,0.125 ,0.000 ,248.930,2.000,0.000,-
10,01-May-2019 02:15:00,,,,,0.118,0.000,0.120 ,0.000 ,250.120,1.930,0.000,-
11,01-May-2019 02:30:00,,,,,0.111,0.000,0.112 ,0.000 ,250.460,1.780,0.000,-
12,01-May-2019 02:45:00,,,,,0.139,0.000,0.140 ,0.000 ,251.470,2.220,0.000,-
13,01-May-2019 03:00:00,,,,,0.137,0.000,0.139 ,0.000 ,251.830,2.190,0.000,-
14,01-May-2019 03:15:00,,,,,0.120,0.000,0.123 ,0.000 ,251.630,1.940,0.000,-
15,01-May-2019 03:30:00,,,,,0.124,0.000,0.128 ,0.000 ,251.150,2.040,0.000,-
16,01-May-2019 03:45:00,,,,,0.124,0.000,0.128 ,0.000 ,251.720,2.030,0.000,-
17,01-May-2019 04:00:00,,,,,0.124,0.000,0.128 ,0.000 ,252.180,2.020,0.000,-
18,01-May-2019 04:15:00,,,,,0.123,0.000,0.127 ,0.000 ,252.520,2.000,0.000,-
19,01-May-2019 04:30:00,,,,,0.122,0.000,0.125 ,0.000 ,252.910,1.970,0.000,-
20,01-May-2019 04:45:00,,,,,0.111,0.000,0.112 ,0.000 ,253.510,1.760,0.000,-
21,01-May-2019 05:00:00,,,,,0.115,0.000,0.117 ,0.000 ,253.960,1.830,0.000,-
22,01-May-2019 05:15:00,,,,,0.124,0.000,0.127 ,0.000 ,254.440,1.980,0.000,-
23,01-May-2019 05:30:00,,,,,0.123,0.000,0.126 ,0.000 ,254.900,1.980,0.000,-
24,01-May-2019 05:45:00,,,,,0.117,0.000,0.118 ,0.000 ,255.130,1.840,0.000,-
25,01-May-2019 06:00:00,,,,,0.111,0.000,0.113 ,0.000 ,254.740,1.760,0.000,-
26,01-May-2019 06:15:00,,,,,0.122,0.000,0.125 ,0.000 ,255.990,1.940,0.000,-
27,01-May-2019 06:30:00,,,,,0.123,0.000,0.127 ,0.000 ,255.240,1.980,0.000,-
28,01-May-2019 06:45:00,,,,,0.120,0.000,0.121 ,0.000 ,255.180,1.910,0.000,-
29,01-May-2019 07:00:00,,,,,0.103,0.000,0.105 ,0.000 ,255.100,1.630,0.000,-
30,01-May-2019 07:15:00,,,,,0.095,0.000,0.097 ,0.000 ,255.650,1.520,0.000,-
31,01-May-2019 07:30:00,,,,,0.162,0.000,0.171 ,0.000 ,255.830,2.660,0.000,-
32,01-May-2019 07:45:00,,,,,0.107,0.000,0.112 ,0.000 ,255.860,1.750,0.000,-
33,01-May-2019 08:00:00,,,,,0.099,0.000,0.104 ,0.000 ,255.770,1.610,0.000,-
34,01-May-2019 08:15:00,,,,,0.081,0.000,0.083 ,0.000 ,256.420,1.280,0.000,-
35,01-May-2019 08:30:00,,,,,0.106,0.000,0.110 ,0.000 ,255.140,1.720,0.000,-
36,01-May-2019 08:45:00,,,,,0.118,0.000,0.125 ,0.000 ,254.580,1.960,0.000,-
37,01-May-2019 09:00:00,,,,,0.105,0.000,0.110 ,0.000 ,255.840,1.700,0.000,-
38,01-May-2019 09:15:00,,,,,0.102,0.000,0.110 ,0.000 ,255.140,1.720,0.000,-
39,01-May-2019 09:30:00,,,,,0.068,0.000,0.082 ,0.000 ,252.290,1.280,0.000,-
40,01-May-2019 09:45:00,,,,,0.063,0.000,0.075 ,0.000 ,252.310,1.190,0.000,-
41,01-May-2019 10:00:00,,,,,0.067,0.000,0.078 ,0.000 ,251.760,1.230,0.000,-
42,01-May-2019 10:15:00,,,,,0.019,0.000,0.024 ,0.000 ,250.700,0.380,0.000,-
43,01-May-2019 10:30:00,,,,,0.030,0.000,0.039 ,0.000 ,249.640,0.620,0.000,-
44,01-May-2019 10:45:00,,,,,0.073,0.000,0.087 ,0.000 ,249.250,1.390,0.000,-
